model,statistics
NW_PARp,42666.66216074999
NW_PARp-A,32366.425319125003
PARp-A_J_20,24175.631354093013
PARp-A_J_30,17385.84860929365
PARp-A_J_40,20695.96834794593
PARp-A_J_50,23126.843254778083
PARp-A_J_60,21366.751887886152
PARp-A_J_70,27519.777598253182
PARp-A_J_80,29148.249398466847
PARp-A_w_2,31528.36481156274
PARp-A_w_4,27647.536113174152
PARp-A_w_11,22928.96935668329
SeasonalNaive,22171.520000000004
SARIMA,17341.95009853151
StructuralModel,22365.240159972138
ScoreDrivenModel,15344.755258714504
MonthlyMedian,37557.52
